id,northing,easting,altitude,start,stop,sd1500,sd750
1674,6126918.46,503875.29,1351.55,887068800,1,1,0
1675,6123012.05,507627.01,1346.04,886982400,1,1,0
1676,6121721.51,508368.73,1344.38,886982400,1,1,0
1677,6124317.69,506875.13,1346.14,887068800,1,1,0
1678,6115219.39,507624.45,1345.4,887068800,1,1,0
1679,6113918.58,506874.4,1347.93,887155200,1,1,0
1680,6113920.14,505376.83,1349.18,887155200,1,1,0
1681,6112639.18,504621.87,1351.5,887155200,1,1,0
1682,6115220.04,506124.49,1346.91,888192000,1,1,0
1683,6113897.56,502458.2,1352.79,901324800,1,1,0
1684,6115220.23,503127.65,1350.48,883526400,1,1,0
1685,6112465.11,503119.88,1352.44,888710400,1,1,0
1686,6111315.24,502380.49,1352.43,891648000,1,1,0
1687,6115220.51,504624.7,1348.8,888192000,1,1,0
1688,6115224.01,501628.32,1351.13,883526400,1,1,0
1689,6113927.67,503874.8,1350.58,888192000,1,1,0
1690,6111325.8,500876.51,1355.82,891648000,1,1,0
1691,6110033.87,501624,1355.17,891734400,1,1,0
1692,6112601.02,501621.84,1354.16,894153600,1,1,0
1693,6107431.58,492623.91,1365.77,892944000,1,1,0
1694,6113825.22,500895.35,1352.33,906249600,1,1,0
1695,6106137.37,466382.19,1421.97,893030400,1,1,0
1696,6108728.09,499376.34,1358.4,891734400,1,1,0
1697,6108726.62,497877.45,1361.1,891734400,1,1,0
1698,6111320.65,497869.53,1358.2,891388800,1,1,0
1699,6110038.19,500129.57,1357.94,891993600,1,1,0
1700,6112617.39,498626.34,1358.79,891302400,1,1,0
1701,6112623.97,500123.61,1355.42,891302400,1,1,0
1702,6107414.7,491134.88,1370.16,892944000,1,1,0
1703,6111318.93,496372.77,1360.56,891475200,1,1,0
1704,6113922.5,499382.75,1354.18,891043200,1,1,0
1705,6110027.04,494122.78,1363.02,891907200,1,1,0
1706,6110021.4,495625.69,1360.12,891129600,1,1,0
1707,6108737.04,491857.4,1366.63,891820800,1,1,0
1708,6108724.61,490373.26,1370.51,891820800,1,1,0
1709,6110024.45,498626.29,1358.26,891734400,1,1,0
1710,6111322.08,499374.42,1356.34,891388800,1,1,0
1711,6113924.16,497877.92,1356.19,891043200,1,1,0
1712,6108733.62,493377.15,1363.79,892944000,1,1,0
1713,6100929.85,482877.41,1383.8,892425600,1,1,0
1714,6102236.2,485128.27,1380.73,887673600,1,1,0
1715,6099624.69,482130.76,1385.35,892425600,1,1,0
1716,6100934.62,484378.55,1382.41,892425600,1,1,0
1717,6106134.52,469376.02,1413.44,893030400,1,1,0
1718,6103532.27,485871.55,1379.4,892339200,1,1,0
1719,6106141.34,467860.5,1418.42,891734400,1,1,0
1720,6103534.96,484373.03,1383.23,892339200,1,1,0
1721,6106133.84,461874.91,1439.86,888451200,1,1,0
1722,6104812.47,461122.52,1441.06,888451200,1,1,0
1723,6106127.82,458872.02,1460.79,888451200,1,1,0
1724,6106143.08,460378.31,1450.4,888710400,1,1,0
1725,6104836.05,458127.11,1460.68,895881600,1,1,0
1726,6106135.46,457373.19,1470.75,895968000,1,1,0
1727,6104840.79,459630.39,1450.43,895881600,1,1,0
1728,6104841.59,456623.26,1469.55,895881600,1,1,0
1729,6107436.97,459623.45,1460.3,896140800,1,1,0
1730,6106128.84,455877.69,1479.92,895968000,1,1,0
1731,6107434.79,456622.46,1483.34,896140800,1,1,0
1732,6107427.98,458123.83,1470.59,896140800,1,1,0
1733,6108736.59,458876.57,1472.57,896227200,1,1,0
1734,6108738.39,455880.61,1496.22,896140800,1,1,0
1735,6107436.37,461131.86,1448.84,896227200,1,1,0
1736,6108729.77,457377.62,1484.93,896572800,1,1,0
1737,6110028.72,459624.46,1471.32,900806400,1,1,0
1738,6110028.45,456626.08,1496.98,900806400,1,1,0
1739,6110026.06,458132.24,1484.08,896572800,1,1,0
1740,6110025.45,461123.95,1459.71,896745600,1,1,0
1741,6108735.29,461873.67,1448.38,900806400,1,1,0
1742,6111322.28,457377.29,1496.31,900806400,1,1,0
1743,6110025.58,462628.93,1445.66,900806400,1,1,0
1744,6111325.83,458877.63,1482.32,900806400,1,1,0
